id,img_name,pick_x,pick_y
1,T0001.jpg,801,324
2,T0002.jpg,538,313
3,T0003.jpg,751,437
4,T0004.jpg,948,334
5,T0005.jpg,879,768
6,T0006.jpg,328,443
7,T0007.jpg,785,340
8,T0008.jpg,800,356
9,T0009.jpg,789,874
10,T0010.jpg,638,424
11,T0011.jpg,582,386
12,T0012.jpg,411,359
13,T0013.jpg,677,395
14,T0014.jpg,662,586
15,T0015.jpg,566,584
16,T0016.jpg,708,655
17,T0017.jpg,562,776
18,T0018.jpg,581,613
19,T0019.jpg,759,927
20,T0020.jpg,742,491
21,T0021.jpg,490,579
22,T0022.jpg,630,1088
23,T0023.jpg,816,984
24,T0024.jpg,341,700
25,T0025.jpg,1029,985
26,T0026.jpg,410,1030
27,T0027.jpg,622,740
28,T0028.jpg,644,1138
29,T0029.jpg,892,935
30,T0030.jpg,935,1086
31,T0031.jpg,664,955
32,T0032.jpg,748,785
33,T0033.jpg,240,885
34,T0034.jpg,796,750
35,T0035.jpg,893,615
36,T0036.jpg,798,845
37,T0037.jpg,624,1158
38,T0038.jpg,817,739
39,T0039.jpg,489,788
40,T0040.jpg,1019,883
41,T0041.jpg,414,843
42,T0042.jpg,573,1015
43,T0043.jpg,733,955
44,T0044.jpg,840,758
45,T0045.jpg,704,838
46,T0046.jpg,906,632
47,T0047.jpg,155,692
48,T0048.jpg,889,483
49,T0049.jpg,530,727
50,T0050.jpg,78,605
51,T0051.jpg,60,193
52,T0052.jpg,801,558
53,T0053.jpg,229,952
54,T0054.jpg,338,985
55,T0055.jpg,143,799
56,T0056.jpg,790,844
57,T0057.jpg,165,1004
58,T0058.jpg,244,352
59,T0059.jpg,960,238
60,T0060.jpg,954,658
61,T0061.jpg,945,207
62,T0062.jpg,193,977
63,T0063.jpg,634,253
64,T0064.jpg,377,968
65,T0065.jpg,114,623
66,T0066.jpg,361,1125
67,T0067.jpg,347,820
68,T0068.jpg,820,868
69,T0069.jpg,614,1046
70,T0070.jpg,982,678
71,T0071.jpg,908,853
72,T0072.jpg,956,167
73,T0073.jpg,1041,660
74,T0074.jpg,306,680
75,T0075.jpg,873,517
76,T0076.jpg,661,671
77,T0077.jpg,158,175
78,T0078.jpg,197,224
79,T0079.jpg,955,970
80,T0080.jpg,1078,1089
81,T0081.jpg,1113,434
82,T0082.jpg,309,786
83,T0083.jpg,295,754
84,T0084.jpg,836,955
85,T0085.jpg,269,968
86,T0086.jpg,445,982
87,T0087.jpg,1085,258
88,T0088.jpg,169,312
89,T0089.jpg,319,823
90,T0090.jpg,274,941
91,T0091.jpg,650,784
92,T0092.jpg,1109,532
93,T0093.jpg,825,858
94,T0094.jpg,259,847
95,T0095.jpg,261,1020
96,T0096.jpg,623,650
97,T0097.jpg,840,1023
98,T0098.jpg,147,464
99,T0099.jpg,1063,816
100,T0100.jpg,883,1016
101,T0101.jpg,265,950
102,T0102.jpg,194,1066
103,T0103.jpg,139,839
104,T0104.jpg,259,769
105,T0105.jpg,312,984
106,T0106.jpg,190,971
107,T0107.jpg,163,135
108,T0108.jpg,66,665
109,T0109.jpg,142,1097
110,T0110.jpg,150,1057
111,T0111.jpg,275,1028
112,T0112.jpg,318,256
113,T0113.jpg,171,673
114,T0114.jpg,289,860
115,T0115.jpg,156,1008
116,T0116.jpg,108,953
117,T0117.jpg,214,791
118,T0118.jpg,217,901
119,T0119.jpg,178,794
120,T0120.jpg,355,734
121,T0121.jpg,200,771
122,T0122.jpg,227,757
123,T0123.jpg,225,967
124,T0124.jpg,197, 939
125,T0125.jpg,271,768
126,T0126.jpg,230,838
127,T0127.jpg,264,811
128,T0128.jpg,217,130
129,T0129.jpg,375,264
130,T0130.jpg,225,880
131,T0131.jpg,224,434
132,T0132.jpg,313,852
133,T0133.jpg,251,664
134,T0134.jpg,245,364
135,T0135.jpg,155,988
136,T0136.jpg,194,117
137,T0137.jpg,422,211
138,T0138.jpg,185,662
139,T0139.jpg,618,353
140,T0140.jpg,713,931
141,T0141.jpg,457,929
142,T0142.jpg,446,495
143,T0143.jpg,399,195
144,T0144.jpg,190,319
145,T0145.jpg,194,1014
146,T0146.jpg,195,648
147,T0147.jpg,145,550
148,T0148.jpg,113,144
149,T0149.jpg,164,1050
150,T0150.jpg,335,1086
151,T0151.jpg,367,908
152,T0152.jpg,464,676
153,T0153.jpg,509,457
154,T0154.jpg,222,366
155,T0155.jpg,232,370
156,T0156.jpg,185,412
157,T0157.jpg,271,398
158,T0158.jpg,228,937
